train_loss,valid_loss
0.078257,0.063438
0.049455,0.033238
0.027388,0.018507
0.018524,0.016136
0.016888,0.014858
0.015902,0.015032
0.016484,0.018003
0.017961,0.017490
0.019855,0.019284
0.020926,0.021197
0.023283,0.022216
0.021849,0.022650
0.023558,0.024747
0.027549,0.030164
0.032232,0.030533
0.032029,0.030542
0.031712,0.030209
0.031521,0.030158
0.031395,0.029624
0.031364,0.029547
0.031385,0.030202
0.032097,0.030926
0.032897,0.031637
0.033168,0.031210
0.032768,0.030893
0.032271,0.030833
0.032122,0.030848
0.032173,0.030839
0.032155,0.030821
0.032153,0.030804
